 Pollster    	  Dates    	  N/Pop    	  Approve    	  Disapprove    	  Undecided
Marist College 	6/17-24/10 	813 RV 	44 	45 	11
Gallup 	6/21-23/10 	1500 A 	45 	46 	-
Resurgent Republic (R) 	6/20-23/10 	1000 RV 	49 	48 	4
YouGov/Polimetrix 	6/19-22/10 	1000 A 	44 	49 	7
Democracy Corps (D) 	6/19-22/10 	1016 LV 	46 	50 	4
Rasmussen 	6/19-21/10 	1500 LV 	46 	53 	-
NBC/WSJ 	6/17-21/10 	1000 A 	45 	48 	7
Gallup 	6/18-20/10 	1500 A 	49 	44 	-
ARG 	6/17-20/10 	1100 A 	41 	51 	8
CBS/Times 	6/16-20/10 	1259 A 	47 	43 	10
Pew 	6/16-20/10 	1802 A 	48 	43 	9
Rasmussen 	6/16-18/10 	1500 LV 	42 	57 	-
Gallup 	6/15-17/10 	1500 A 	45 	46 	-
CNN 	6/16/10 	534 A 	50 	48 	2
Rasmussen 	6/13-15/10 	1500 LV 	42 	57 	-
YouGov/Polimetrix 	6/12-15/10 	1000 A 	44 	47 	9
Gallup 	6/12-14/10 	1500 A 	49 	44 	-
AP-GfK 	6/9-14/10 	1044 A 	50 	49 	1
Ipsos/McClatchy 	6/10-13/10 	1071 A 	50 	45 	5
Rasmussen 	6/10-12/10 	1500 LV 	47 	52 	-
Gallup 	6/9-11/10 	1500 A 	44 	48 	-
FOX 	6/8-9/10 	900 RV 	46 	45 	8
Rasmussen 	6/7-9/10 	1500 LV 	46 	53 	-
Gallup 	6/6-8/10 	1500 A 	47 	45 	-
YouGov/Polimetrix 	6/5-8/10 	1000 A 	44 	49 	7
Zogby (Internet) 	6/4-7/10 	2062 LV 	47 	53 	1
PPP (D) 	6/4-7/10 	650 RV 	48 	47 	5
Rasmussen 	6/4-6/10 	1500 LV 	46 	53 	-
ABC/Post 	6/3-6/10 	1004 A 	52 	45 	4
Gallup 	6/3-5/10 	1500 A 	45 	47 	-
Rasmussen 	6/1-3/10 	1500 LV 	48 	52 	-
Gallup 	5/30-6/2/10 	1500 A 	49 	45 	-
YouGov/Polimetrix 	5/29-6/1/10 	1000 A 	45 	49 	6
Rasmussen 	5/29-31/10 	1500 LV 	46 	54 	-
Gallup 	5/27-29/10 	1500 A 	46 	45 	-
Rasmussen 	5/26-28/10 	1500 LV 	48 	52 	-
Gallup 	5/24-26/10 	1500 A 	46 	47 	-
Rasmussen 	5/23-25/10 	1500 LV 	43 	56 	-
YouGov/Polimetrix 	5/22-25/10 	1000 A 	44 	48 	8
CBS News 	5/20-24/10 	1054 A 	47 	43 	10
Quinnipiac 	5/19-24/10 	1914 RV 	48 	43 	9
Gallup 	5/21-23/10 	1500 A 	48 	45 	-
CNN 	5/21-23/10 	1023 A 	51 	46 	3
NBC/MSNBC/Telemundo 	5/20-23/10 	700 A 	48 	45 	7
Rasmussen 	5/20-22/10 	1500 LV 	45 	54 	-
Gallup 	5/18-20/10 	1500 A 	49 	45 	-
ARG 	5/17-20/10 	1100 A 	49 	48 	3
FOX 	5/18-19/10 	900 RV 	45 	46 	8
Rasmussen 	5/17-19/10 	1500 LV 	45 	53 	-
Democracy Corps (D) 	5/15-18/10 	1016 LV 	47 	47 	6
YouGov/Polimetrix 	5/15-18/10 	1000 A 	46 	47 	7
Gallup 	5/15-17/10 	1500 A 	46 	46 	-
Zogby (Internet) 	5/14-17/10 	2063 LV 	50 	50 	1
Rasmussen 	5/14-16/10 	1500 LV 	46 	53 	-
Gallup 	5/12-14/10 	1500 A 	51 	42 	-
Rasmussen 	5/11-13/10 	1500 LV 	46 	53 	-
Gallup 	5/9-11/10 	1500 A 	49 	43 	-
YouGov/Polimetrix 	5/8-11/10 	1000 A 	50 	43 	7
AP-GfK 	5/7-11/10 	1001 A 	49 	50 	1
Rasmussen 	5/7-10/10 	1500 LV 	48 	51 	-
NBC/WSJ 	5/6-10/10 	1000 A 	50 	44 	6
PPP (D) 	5/7-9/10 	707 RV 	50 	46 	4
Pew 	5/7-9/10 	994 A 	47 	42 	11
Zogby (Internet) 	5/7-9/10 	2018 LV 	47 	53 	1
Ipsos/McClatchy 	5/6-9/10 	1016 A 	52 	43 	4
Gallup 	5/6-8/10 	1500 A 	50 	43 	-
Rasmussen 	5/4-6/10 	1500 LV 	45 	54 	-
FOX 	5/4-5/10 	900 RV 	48 	43 	9
Gallup 	5/3-5/10 	1500 A 	50 	42 	-
YouGov/Polimetrix 	5/1-4/10 	1000 A 	47 	48 	5
Rasmussen 	5/1-3/10 	1500 LV 	48 	51 	-
Gallup 	4/30-5/2/10 	1500 A 	47 	47 	-
CBS/Times 	4/28-5/2/10 	1079 A 	51 	39 	10
Rasmussen 	4/28-30/10 	1500 LV 	46 	53 	-
Gallup 	4/27-29/10 	1500 A 	49 	45 	-
Rasmussen 	4/25-27/10 	1500 LV 	47 	52 	-
Resurgent Republic (R) 	4/25-27/10 	1000 RV 	48 	48 	5
YouGov/Polimetrix 	4/24-27/10 	750 A 	45 	48 	7
Gallup 	4/24-26/10 	1500 A 	51 	42 	-
Allstate/National Journal 	4/22-26/10 	1200 A 	48 	46 	7
Pew 	4/21-26/10 	1546 A 	47 	42 	11
ABC/Post 	4/22-25/10 	1001 A 	54 	44 	3
Rasmussen 	4/22-24/10 	1500 LV 	45 	54 	-
Gallup 	4/21-23/10 	1500 A 	49 	42 	-
FOX 	4/20-21/10 	900 RV 	46 	46 	8
Rasmussen 	4/19-21/10 	1500 LV 	47 	52 	-
Gallup 	4/18-20/10 	1500 A 	49 	45 	-
ARG 	4/17-20/10 	1100 A 	47 	49 	4
YouGov/Polimetrix 	4/17-20/10 	1000 A 	46 	48 	6
Democracy Corps (D) 	4/17-20/10 	1016 LV 	48 	46 	6
Zogby (Internet) 	4/16-19/10 	2018 LV 	49 	51 	1
Quinnipiac 	4/14-19/10 	1930 RV 	44 	46 	10
Rasmussen 	4/16-18/10 	1500 LV 	48 	51 	-
Gallup 	4/15-17/10 	1500 A 	47 	46 	-
Rasmussen 	4/13-15/10 	1500 LV 	47 	52 	-
Gallup 	4/12-14/10 	1500 A 	49 	45 	-
Public Opinion Strategies (R) 	4/11-13/10 	800 LV 	50 	48 	2
YouGov/Polimetrix 	4/10-13/10 	1000 A 	46 	46 	8
Rasmussen 	4/10-12/10 	1500 LV 	49 	50 	-
AP-GfK 	4/7-12/10 	1001 A 	49 	50 	1
CBS/Times 	4/5-12/10 	1580 A 	50 	40 	10
Gallup 	4/9-11/10 	1500 A 	45 	48 	-
CNN 	4/9-11/10 	1008 A 	51 	47 	2
PPP (D) 	4/9-11/10 	622 RV 	46 	48 	6
Pew 	4/8-11/10 	2505 A 	48 	43 	9
Rasmussen 	4/7-9/10 	1500 LV 	48 	52 	-
Gallup 	4/6-8/10 	1500 A 	49 	46 	-
GWU (Lake/Tarrance) 	4/5-8/10 	1000 LV 	50 	47 	4
FOX 	4/6-7/10 	900 RV 	43 	48 	9
Rasmussen 	4/4-6/10 	1500 LV 	48 	52 	-
YouGov/Polimetrix 	4/3-6/10 	1000 A 	46 	47 	7
Gallup 	4/2-5/10 	1500 A 	49 	46 	-
Rasmussen 	4/1-3/10 	1500 LV 	46 	53 	-
Zogby (Internet) 	4/1-3/10 	3351 LV 	48 	52 	1
Gallup 	3/30-4/1/10 	1500 A 	50 	43 	-
CBS News 	3/29-4/1/10 	858 A 	44 	41 	15
Rasmussen 	3/29-31/10 	1500 LV 	47 	53 	-
YouGov/Polimetrix 	3/27-30/10 	1000 A 	46 	47 	7
Gallup 	3/27-29/10 	1500 A 	48 	44 	-
Marist College 	3/25-29/10 	860 RV 	46 	43 	11
Rasmussen 	3/26-28/10 	1500 LV 	47 	52 	-
CNN 	3/25-28/10 	1009 A 	51 	48 	1
Gallup 	3/24-26/10 	1500 A 	48 	45 	-
Washington Post 	3/23-26/10 	1000 A 	53 	43 	3
Rasmussen 	3/23-25/10 	1500 LV 	49 	51 	-
Quinnipiac 	3/22-23/10 	1552 RV 	45 	46 	9
Gallup 	3/21-23/10 	1500 A 	50 	44 	-
Rasmussen 	3/20-22/10 	1500 LV 	48 	52 	-
YouGov/Polimetrix 	3/20-22/10 	1000 A 	45 	47 	7
Bloomberg 	3/19-22/10 	1002 A 	50 	45 	5
CNN 	3/19-21/10 	1030 A 	46 	51 	3
CBS News 	3/18-21/10 	1059 A 	49 	41 	10
Quinnipiac 	3/16-21/10 	1907 RV 	46 	49 	6
Gallup 	3/17-20/10 	1500 A 	50 	43 	-
ARG 	3/17-20/10 	1100 A 	47 	50 	-
Rasmussen 	3/17-19/10 	1500 LV 	43 	56 	-
Democracy Corps (D)/Third Way (D) 	3/15-18/10 	1016 LV 	46 	48 	6
FOX 	3/16-17/10 	900 RV 	46 	48 	6
Rasmussen 	3/14-16/10 	1500 LV 	44 	55 	-
Gallup 	3/14-16/10 	1500 A 	46 	47 	-
YouGov/Polimetrix 	3/13-16/10 	1000 A 	46 	47 	8
PPP (D) 	3/12-14/10 	1403 RV 	47 	48 	5
NBC/WSJ 	3/11-14/10 	1000 A 	48 	47 	5
Pew 	3/10-14/10 	1500 A 	46 	43 	12
Rasmussen 	3/11-13/10 	1500 LV 	46 	53 	-
Gallup 	3/11-13/10 	1500 A 	49 	44 	-
OnMessage (R-RNC) 	3/9-11/10 	1200 LV 	49 	47 	-
Rasmussen 	3/8-10/10 	1500 LV 	44 	54 	-
Gallup 	3/8-10/10 	1500 A 	46 	45 	-
YouGov/Polimetrix 	3/6-8/10 	1000 A 	48 	45 	7
AP-GfK 	3/3-8/10 	1002 A 	53 	46 	1
Rasmussen 	3/5-7/10 	1500 LV 	46 	54 	-
Gallup 	3/5-7/10 	1500 A 	49 	44 	-
Rasmussen 	3/2-4/10 	1500 LV 	46 	53 	-
Gallup 	3/2-4/10 	1500 A 	50 	44 	-
Zogby (Internet) 	3/2-4/10 	2847 LV 	48 	51 	1
YouGov/Polimetrix 	2/28-3/2/10 	1000 A 	47 	46 	6
Rasmussen 	2/27-3/1/10 	1500 LV 	47 	52 	-
Gallup 	2/27-3/1/10 	1500 A 	50 	43 	-
Ipsos/McClatchy 	2/26-28/10 	1076 A 	53 	44 	3
Rasmussen 	2/24-26/10 	1500 LV 	43 	55 	-
Gallup 	2/24-26/10 	1500 A 	49 	45 	-
McLaughlin (R)/Citizens United (R) 	2/24-25/10 	1000 LV 	49 	48 	3
FOX 	2/23-24/10 	900 RV 	47 	45 	8
Democracy Corps (D)/Third Way (D) 	2/20-24/10 	1001 LV 	49 	46 	5
Rasmussen 	2/21-23/10 	1500 LV 	45 	54 	-
Gallup 	2/21-23/10 	1500 A 	51 	43 	-
YouGov/Polimetrix 	2/21-23/10 	1000 A 	45 	48 	8
Gallup 	2/18-20/10 	1500 A 	48 	45 	-
Rasmussen 	2/18-20/10 	1500 LV 	45 	54 	-
ARG 	2/17-20/10 	1100 A 	48 	46 	6
Zogby (Internet) 	2/17-19/10 	2031 LV 	49 	50 	1
Newsweek 	2/17-18/10 	1009 A 	48 	40 	12
Public Opinion Strategies (R) 	2/17-18/10 	900 RV 	48 	48 	2
Rasmussen 	2/15-17/10 	1500 LV 	49 	50 	-
Gallup 	2/15-17/10 	1500 A 	51 	41 	-
YouGov/Polimetrix 	2/13-16/10 	1000 A 	51 	44 	5
PPP (D) 	2/13-15/10 	743 RV 	48 	47 	6
CNN 	2/12-15/10 	1023 A 	49 	50 	1
Rasmussen 	2/12-14/10 	1500 LV 	47 	52 	-
Gallup 	2/12-14/10 	1500 A 	53 	40 	-
Rasmussen 	2/9-11/10 	1500 LV 	47 	52 	-
Gallup 	2/9-11/10 	1500 A 	51 	42 	-
CBS/Times 	2/5-10/10 	1084 A 	46 	45 	9
YouGov/Polimetrix 	2/7-9/10 	1000 A 	48 	47 	6
Pew 	2/3-9/10 	1383 A 	49 	39 	12
Rasmussen 	2/6-8/10 	1500 LV 	47 	53 	-
Gallup 	2/6-8/10 	1500 A 	50 	41 	-
ABC/Post 	2/4-8/10 	1004 A 	51 	46 	3
Quinnipiac 	2/2-8/10 	2617 RV 	45 	46 	9
Fairleigh Dickinson 	1/24-2/6/10 	1002 RV 	44 	47 	9
Rasmussen 	2/3-5/10 	1500 LV 	44 	55 	-
Gallup 	2/3-5/10 	1500 A 	50 	43 	-
Democracy Corps (D) 	2/2-4/10 	805 LV 	47 	47 	-
FOX 	2/2-3/10 	900 RV 	46 	47 	7
Marist College 	2/1-3/10 	910 RV 	44 	47 	9
Rasmussen 	1/31-2/2/10 	1500 LV 	50 	49 	-
Gallup 	1/31-2/2/10 	1500 A 	51 	42 	-
YouGov/Polimetrix 	1/31-2/2/10 	1000 A 	46 	48 	6
Zogby (Internet) 	1/29-2/1/10 	2525 LV 	50 	49 	1
PPP (D) 	1/29-31/10 	584 RV 	48 	49 	4
Ipsos/McClatchy 	1/28-31/10 	1127 A 	50 	46 	4
Rasmussen 	1/28-30/10 	1500 LV 	50 	50 	-
Gallup 	1/28-30/10 	1500 A 	48 	46 	-
Rasmussen 	1/25-27/10 	1500 LV 	46 	54 	-
Gallup 	1/25-27/10 	1500 A 	47 	46 	-
YouGov/Polimetrix 	1/24-26/10 	1000 A 	45 	49 	7
NBC/WSJ 	1/23-25/10 	800 A 	50 	44 	6
Rasmussen 	1/22-24/10 	1500 LV 	47 	53 	-
Gallup 	1/22-24/10 	1500 A 	48 	47 	-
CNN 	1/22-24/10 	1009 A 	49 	50 	0
NPR 	1/20-23/10 	800 LV 	49 	48 	3
Rasmussen 	1/19-21/10 	1500 LV 	47 	52 	-
Gallup 	1/19-21/10 	1500 A 	49 	45 	-
McLaughlin (R)/National Review (R) 	1/19-20/10 	1000 LV 	50 	46 	5
ARG 	1/17-20/10 	1100 A 	51 	45 	4
PPP (D) 	1/18-19/10 	1151 RV 	46 	47 	7
YouGov/Polimetrix 	1/16-19/10 	1000 A 	46 	47 	7
Rasmussen 	1/16-18/10 	1500 LV 	48 	51 	-
Gallup 	1/16-18/10 	1500 A 	50 	43 	-
Zogby (Internet) 	1/15-18/10 	1963 LV 	49 	50 	1
CBS News 	1/14-17/10 	1090 A 	50 	40 	10
AP-GfK 	1/12-17/10 	1008 A 	56 	42 	2
Rasmussen 	1/13-15/10 	1500 LV 	49 	51 	-
Gallup 	1/13-15/10 	1500 A 	49 	44 	-
ABC/Post 	1/12-15/10 	1083 A 	53 	44 	2
NBC/WSJ 	1/10-14/10 	1002 A 	48 	43 	9
FOX 	1/12-13/10 	900 RV 	50 	42 	8
Rasmussen 	1/10-12/10 	1500 LV 	46 	53 	-
Gallup 	1/10-12/10 	1500 A 	50 	42 	-
YouGov/Polimetrix 	1/6-12/10 	1000 A 	45 	48 	8
Ipsos/McClatchy 	1/7-11/10 	1336 A 	52 	45 	2
Democracy Corps (D) 	1/7-11/10 	1200 LV 	50 	46 	4
Quinnipiac 	1/5-11/10 	1767 RV 	45 	45 	10
CNN 	1/8-10/10 	1021 A 	51 	48 	1
CBS News 	1/6-10/10 	1216 A 	46 	41 	13
Pew 	1/6-10/10 	1504 A 	49 	42 	10
Rasmussen 	1/7-9/10 	1500 LV 	45 	54 	-
Gallup 	1/7-9/10 	1500 A 	50 	43 	-
Allstate/National Journal 	1/3-7/10 	1200 A 	47 	45 	8
Rasmussen 	1/4-6/10 	1500 LV 	48 	52 	-
Gallup 	1/4-6/10 	1500 A 	52 	42 	-
YouGov/Polimetrix 	1/2-5/10 	1000 A 	45 	46 	8
Gallup 	12/30/09-1/3/10 	1500 A 	49 	44 	-
Rasmussen 	12/29/09-1/3/10 	1500 LV 	47 	52 	-
Zogby (Internet) 	12/28-30/09 	2789 LV 	47 	53 	1
Gallup 	12/27-29/09 	1500 A 	53 	41 	-
YouGov/Polimetrix 	12/26-29/09 	1000 A 	45 	47 	8
Rasmussen 	12/23-28/09 	1500 LV 	46 	53 	-
Gallup 	12/21-23/09 	1500 A 	51 	42 	-
Rasmussen 	12/20-22/09 	1500 LV 	45 	55 	-
YouGov/Polimetrix 	12/20-22/09 	1000 A 	48 	45 	7
Gallup 	12/18-20/09 	1500 A 	49 	46 	-
ARG 	12/17-20/09 	1100 A 	47 	48 	5
CNN 	12/16-20/09 	1160 A 	54 	44 	2
Quinnipiac 	12/15-20/09 	1616 RV 	46 	43 	11
Rasmussen 	12/17-19/09 	1500 LV 	46 	53 	-
Gallup 	12/15-17/09 	1500 A 	52 	40 	-
Rasmussen 	12/14-16/09 	1500 LV 	46 	54 	-
YouGov/Polimetrix 	12/13-15/09 	1000 A 	49 	44 	6
Gallup 	12/12-14/09 	1500 A 	48 	42 	-
NBC/WSJ 	12/11-14/09 	1009 A 	47 	46 	7
AP-GfK 	12/10-14/09 	1001 A 	56 	42 	3
Rasmussen 	12/11-13/09 	1500 LV 	44 	55 	-
USA Today/Gallup 	12/11-13/09 	1025 A 	49 	46 	-
ABC/Post 	12/10-13/09 	1003 A 	50 	46 	4
Pew 	12/9-13/09 	1503 A 	49 	40 	11
Zogby (Internet) 	12/8-11/09 	3024 LV 	48 	52 	1
Gallup 	12/7-11/09 	1500 A 	50 	44 	-
Rasmussen 	12/8-10/09 	1500 LV 	47 	51 	-
GWU (Lake/Tarrance) 	12/6-10/09 	1000 LV 	50 	45 	6
FOX 	12/8-9/09 	900 RV 	50 	44 	7
YouGov/Polimetrix 	12/6-8/09 	1000 A 	48 	44 	8
CBS/Times 	12/4-8/09 	1031 A 	50 	39 	11
Rasmussen 	12/5-7/09 	1500 LV 	47 	52 	-
PPP (D) 	12/4-7/09 	1253 RV 	49 	47 	5
Bloomberg 	12/3-7/09 	1000 A 	54 	41 	5
Marist College 	12/2-7/09 	858 RV 	46 	44 	10
Gallup 	12/4-6/09 	1500 A 	47 	46 	-
Ipsos/McClatchy 	12/3-6/09 	1120 A 	49 	49 	1
Quinnipiac 	12/1-6/09 	2313 RV 	46 	44 	10
Rasmussen 	12/2-4/09 	1500 LV 	47 	52 	-
CNN 	12/2-3/09 	1041 A 	48 	50 	2
Gallup 	12/1-3/09 	1500 A 	52 	41 	-
Rasmussen 	11/29-12/1/09 	1500 LV 	47 	52 	-
Gallup 	11/27-30/09 	1500 A 	51 	42 	-
Gallup 	11/23-25/09 	1500 A 	49 	44 	-
Rasmussen 	11/22-24/09 	1500 LV 	46 	54 	-
Gallup 	11/20-22/09 	1500 A 	49 	44 	-
Rasmussen 	11/19-21/09 	1500 LV 	48 	52 	-
ARG 	11/17-20/09 	1100 A 	51 	44 	5
Gallup 	11/17-19/09 	1500 A 	49 	44 	-
FOX 	11/17-18/09 	900 RV 	46 	46 	8
Rasmussen 	11/16-18/09 	1500 LV 	46 	52 	-
Gallup 	11/14-16/09 	1500 A 	50 	42 	-
Democracy Corps (D) 	11/12-16/09 	1200 LV 	50 	44 	6
Quinnipiac 	11/9-16/09 	2518 RV 	48 	42 	10
Rasmussen 	11/13-15/09 	1500 LV 	50 	49 	-
CBS News 	11/13-15/09 	873 A 	53 	36 	-
CNN 	11/13-15/09 	1014 A 	55 	42 	3
PPP (D) 	11/13-15/09 	1066 RV 	49 	46 	5
ABC/Post 	11/12-15/09 	1001 A 	56 	42 	2
Gallup 	11/11-13/09 	1500 A 	54 	38 	-
Rasmussen 	11/10-12/09 	1500 LV 	47 	51 	-
Public Opinion Strategies (R) 	11/9-11/09 	700 RV 	52 	44 	4
Gallup 	11/8-10/09 	1500 A 	51 	42 	-
Rasmussen 	11/7-9/09 	1500 LV 	48 	52 	-
AP-GfK 	11/5-9/09 	1006 A 	54 	43 	3
AP-GfK/RWJF/Stanford 	10/29-11/8/09 	1006 A 	53 	46 	2
Pew 	10/28-11/8/09 	2000 A 	51 	36 	13
Gallup 	11/5-7/09 	1500 A 	54 	41 	-
Rasmussen 	11/4-6/09 	1500 LV 	49 	50 	-
Zogby (Internet) 	11/4-6/09 	2293 LV 	49 	51 	1
Gallup 	11/2-4/09 	1500 A 	52 	42 	-
Rasmussen 	11/1-3/09 	1500 LV 	48 	51 	-
YouGov/Polimetrix 	11/1-3/09 	1000 A 	50 	44 	8
Gallup 	10/30-11/1/09 	1500 A 	53 	39 	-
CNN 	10/30-11/1/09 	1018 A 	54 	45 	1
Ipsos/McClatchy 	10/29-11/1/09 	1077 A 	53 	43 	3
Rasmussen 	10/29-31/09 	1500 LV 	46 	52 	-
Gallup 	10/27-29/09 	1500 A 	53 	40 	-
FOX 	10/27-28/09 	900 RV 	50 	41 	10
Rasmussen 	10/26-28/09 	1500 LV 	47 	52 	-
