line number	sex	"age (a = adult, y = young)"	survived	total length (mm)	alar extent (mm)	weight (g)	length of beak and head	length of humerus (in)	length of femur (in)	length of tibiotarsus (in)	width of skull (in)	length of sternal keel (in)
56	f		T	155	243	24.4	31.5	0.734	0.736	1.17	0.596	0.801
56	f		F	163	242	24.8	31	0.713	0.713	1.128	0.607	0.813
57	f		F	156	237	23.9	31.7	0.718	0.716	1.09	0.611	0.8
57	f		T	163	247	25.1	32	0.748	0.734	1.166	0.602	0.821
58	f		T	157	238	24.6	30.9	0.726	0.727	1.175	0.588	0.797
58	f		F	159	238	24.7	31.5	0.726	0.701	1.145	0.6	0.8
59	f		T	155	239	24	32.8	0.732	0.742	1.175	0.601	0.835
59	f		F	161	245	26.9	32.1	0.751	0.704	1.142	0.607	0.819
60	f		F	155	235	22.6	30.7	0.695	0.692	1.119	0.584	0.771
60	f		T	164	248	24.2	32.7	0.752	0.752	1.201	0.604	0.83
61	f		T	158	238	24.9	31	0.741	0.69	1.091	0.592	0.866
61	f		F	162	247	26.1	31.9	0.751	0.735	1.157	0.618	0.802
62	f		F	153	237	24.8	30.6	0.732	0.718	1.172	0.594	0.802
62	f		T	158	240	24.1	31.3	0.733	0.706	1.107	0.591	0.867
63	f		T	160	244	24	31.1	0.731	0.73	1.152	0.589	0.808
63	f		F	162	245	26.2	32.5	0.728	0.731	1.102	0.614	0.832
64	f		T	161	246	26	32.3	0.758	0.732	1.154	0.623	0.859
64	f		F	164	248	26.1	32.3	0.739	0.707	1.159	0.592	0.823
65	f		T	157	245	24.9	32	0.752	0.74	1.186	0.593	0.787
66	f		T	157	235	25.5	31.5	0.712	0.704	1.132	0.611	0.781
67	f		T	156	237	23.4	30.9	0.708	0.691	1.123	0.613	0.798
68	f		T	158	244	25.9	31.4	0.729	0.705	1.146	0.597	0.851
69	f		T	153	238	24.2	30.5	0.715	0.707	1.116	0.595	0.821
70	f		T	155	236	24.2	30.3	0.727	0.705	1.12	0.585	0.79
71	f		T	163	246	27.4	32.5	0.732	0.711	1.163	0.63	0.862
72	f		T	159	236	24	31.5	0.709	0.713	1.129	0.607	0.845
