Pollster 	Dates 	N/Pop 	Approve 	Disapprove 	Undecided
Gallup 	5/27-29/11 	1500 A 	47 	44 	-
Rasmussen 	5/24-26/11 	1500 LV 	49 	49 	-
Gallup 	5/24-26/11 	1500 A 	51 	41 	-
CNN 	5/24-26/11 	1007 A 	54 	45 	2
PPP (D) 	5/23-25/11 	600 RV 	48 	48 	4
Democracy Corps (D)/Women's Voices. Women Vote. 	5/21-25/11 	1000 LV 	49 	45 	-
YouGov/Polimetrix 	5/21-24/11 	1000 A 	45 	49 	6
Rasmussen 	5/21-23/11 	1500 LV 	51 	48 	-
Gallup 	5/21-23/11 	1500 A 	51 	42 	-
Allstate/National Journal 	5/28-22/11 	1000 A 	51 	41 	8
DailyKos/SEIU/PPP (D) 	5/19-22/11 	1002 RV 	49 	46 	5
Rasmussen 	5/18-20/11 	1500 LV 	48 	50 	-
Gallup 	5/18-20/11 	1500 A 	49 	43 	-
Rasmussen 	5/15-17/11 	1500 LV 	50 	49 	-
Gallup 	5/15-17/11 	1500 A 	48 	43 	-
FOX 	5/15-17/11 	910 RV 	55 	41 	4
YouGov/Polimetrix 	5/14-17/11 	900 A 	44 	46 	9
Suffolk 	5/10-17/11 	1070 LV 	47 	45 	8
DailyKos/SEIU/PPP (D) 	5/12-15/11 	1002 RV 	51 	44 	5
Gallup 	5/12-14/11 	1500 A 	48 	44 	-
Rasmussen 	5/12-14/11 	1500 LV 	48 	51 	-
GWU/Politico (Lake/Tarrance) 	5/8-12/11 	1000 LV 	52 	44 	4
Rasmussen 	5/9-11/11 	1500 LV 	47 	52 	-
Gallup 	5/9-11/11 	1500 A 	51 	42 	-
YouGov/Polimetrix 	5/7-10/11 	900 A 	45 	48 	6
AP-GfK 	5/5-9/11 	1001 A 	60 	39 	1
Ipsos/Reuters 	5/5-9/11 	1029 A 	48 	47 	4
Gallup 	5/6-8/11 	1500 A 	51 	40 	-
Pew 	5/5-8/11 	1003 A 	50 	39 	11
DailyKos/SEIU/PPP (D) 	5/5-8/11 	1002 RV 	51 	43 	6
PPP (D) 	5/5-8/11 	814 RV 	49 	43 	7
Rasmussen 	5/5-7/11 	1500 LV 	51 	48 	-
NBC News 	5/5-7/11 	800 A 	52 	41 	7
Gallup 	5/3-5/11 	1500 A 	47 	44 	-
Rasmussen 	5/2-4/11 	1500 LV 	49 	50 	-
YouGov/Polimetrix 	5/2-4/11 	900 A 	48 	47 	5
Newsweek/Daily Beast 	5/2-3/11 	600 A 	48 	49 	-
Quinnipiac 	5/2-3/11 	1406 RV 	52 	40 	8
SurveyUSA 	5/2/11 	1000 A 	46 	42 	11
Pew 	5/2/11 	654 A 	56 	38 	6
CNN 	5/2/11 	700 A 	52 	43 	5
Gallup 	4/30-5/2/11 	1500 A 	47 	44 	-
Newsweek/Daily Beast 	4/30-5/1/11 	600 A 	48 	49 	-
Rasmussen 	4/29-5/1/11 	1500 LV 	49 	49 	-
DailyKos/SEIU/PPP (D) 	4/28-5/1/11 	1002 RV 	46 	50 	5
Quinnipiac 	4/26-5/1/11 	1406 RV 	46 	48 	6
Gallup 	4/27-29/11 	1500 A 	45 	47 	-
Rasmussen 	4/26-28/11 	1500 LV 	48 	51 	-
FOX 	4/25-27/11 	911 RV 	47 	47 	5
Gallup 	4/23-26/11 	1500 A 	43 	48 	-
YouGov/Polimetrix 	4/23-26/11 	1000 A 	41 	51 	9
Rasmussen 	4/23-25/11 	1500 LV 	46 	53 	-
Zogby (Internet) 	4/21-25/11 	2055 LV 	41 	59 	1
DailyKos/SEIU/PPP (D) 	4/21-24/11 	1003 RV 	44 	50 	6
Gallup 	4/20-22/11 	1500 A 	44 	47 	-
Rasmussen 	4/20-22/11 	1500 LV 	48 	51 	-
ARG 	4/17-20/11 	1100 A 	42 	53 	5
CBS/Times 	4/15-20/11 	1224 A 	46 	45 	9
Rasmussen 	4/17-19/11 	1500 LV 	46 	53 	-
Gallup 	4/17-19/11 	1500 A 	42 	49 	-
YouGov/Polimetrix 	4/16-19/11 	1000 A 	43 	48 	8
ABC/Post 	4/14-17/11 	1001 A 	47 	50 	3
DailyKos/SEIU/PPP (D) 	4/14-17/11 	1003 RV 	45 	48 	7
Rasmussen 	4/14-16/11 	1500 LV 	48 	51 	-
Gallup 	4/14-16/11 	1500 A 	44 	47 	-
Zogby (Internet) 	4/13-15/11 	2132 LV 	43 	57 	1
Marist/McClatchy 	4/10-14/11 	1084 RV 	44 	49 	6
Rasmussen 	4/11-13/11 	1500 LV 	49 	50 	-
Gallup 	4/11-13/11 	1500 A 	42 	50 	-
Democracy Corps (D)/Campaign For America's Future 	4/10-12/11 	1000 LV 	44 	50 	7
YouGov/Polimetrix 	4/9-12/11 	1000 A 	41 	50 	9
Ipsos/Reuters 	4/7-11/11 	1042 A 	46 	49 	4
CNN 	4/9-10/11 	824 A 	48 	50 	2
Rasmussen 	4/8-10/11 	1500 LV 	44 	55 	-
Gallup 	4/8-10/11 	1500 A 	45 	46 	-
DailyKos/SEIU/PPP (D) 	4/7-10/11 	1002 RV 	48 	47 	5
PPP (D) 	4/7-10/11 	532 RV 	47 	48 	5
Reason/Rupe 	3/24-4/9/11 	1200 A 	46 	38 	17
Rasmussen 	4/5-7/11 	1500 LV 	47 	52 	-
Gallup 	4/5-7/11 	1500 A 	45 	47 	-
FOX 	4/3-5/11 	914 RV 	49 	47 	5
YouGov/Polimetrix 	4/2-5/11 	1000 A 	43 	50 	8
Rasmussen 	4/2-4/11 	1500 LV 	47 	52 	-
Gallup 	4/2-4/11 	1500 A 	46 	45 	-
Zogby (Internet) 	4/1-4/11 	2126 LV 	43 	56 	1
NBC/WSJ 	3/31-4/4/11 	1000 A 	49 	45 	6
DailyKos/SEIU/PPP (D) 	3/31-4/3/11 	1000 RV 	46 	47 	7
Pew 	3/30-4/3/11 	1507 A 	47 	45 	8
Rasmussen 	3/30-4/1/11 	1500 LV 	47 	52 	-
Gallup 	3/30-4/1/11 	1500 A 	46 	45 	-
Rasmussen 	3/27-29/11 	1500 LV 	43 	56 	-
Gallup 	3/27-29/11 	1500 A 	49 	44 	-
YouGov/Polimetrix 	3/26-29/11 	1000 A 	40 	50 	9
Zogby (Internet) 	3/25-28/11 	1930 LV 	46 	54 	1
AP-GfK 	3/24-28/11 	1001 A 	53 	45 	-
Quinnipiac 	3/22-28/11 	2069 RV 	42 	48 	10
Fairleigh Dickinson 	3/21-28/11 	800 RV 	44 	48 	8
DailyKos/SEIU/PPP (D) 	3/25-27/11 	1003 RV 	45 	48 	7
Gallup 	3/24-26/11 	1500 A 	46 	46 	-
Rasmussen 	3/24-26/11 	1500 LV 	46 	53 	-
Rasmussen 	3/21-23/11 	1500 LV 	48 	52 	-
Gallup 	3/21-23/11 	1500 A 	45 	46 	-
YouGov/Polimetrix 	3/19-22/11 	1000 A 	44 	48 	8
CBS 	3/18-21/11 	1022 A 	49 	41 	10
Rasmussen 	3/18-20/11 	1500 LV 	46 	54 	-
Gallup 	3/18-20/11 	1500 A 	46 	44 	-
CNN 	3/18-20/11 	1012 A 	51 	47 	2
ARG 	3/17-20/11 	1100 A 	48 	47 	5
DailyKos/SEIU/PPP (D) 	3/17-20/11 	1003 RV 	47 	47 	6
Rasmussen 	3/15-17/11 	1500 LV 	45 	54 	-
Gallup 	3/14-17/11 	1500 A 	51 	42 	-
FOX 	3/14-16/11 	913 RV 	49 	44 	7
YouGov/Polimetrix 	3/12-15/11 	1000 A 	45 	45 	10
Rasmussen 	3/12-14/11 	1500 LV 	43 	57 	-
Gallup 	3/11-13/11 	1500 A 	46 	44 	-
CNN 	3/11-13/11 	1023 A 	50 	47 	3
ABC/Post 	3/10-13/11 	1053 A 	51 	45 	4
PPP (D) 	3/10-13/11 	642 RV 	47 	47 	5
DailyKos/SEIU/PPP (D) 	3/10-13/11 	1003 RV 	45 	51 	4
Rasmussen 	3/9-11/11 	1500 LV 	47 	52 	-
Gallup 	3/8-10/11 	1500 A 	47 	45 	-
Rasmussen 	3/6-8/11 	1500 LV 	47 	52 	-
YouGov/Polimetrix 	3/5-8/11 	1000 A 	44 	48 	7
Allstate/National Journal 	3/4-8/11 	1000 A 	49 	44 	8
Gallup 	3/5-7/11 	1500 A 	46 	46 	-
Bloomberg 	3/4-7/11 	1001 A 	51 	43 	6
DailyKos/SEIU/PPP (D) 	3/4-6/11 	1003 RV 	50 	46 	4
Ipsos/Reuters 	3/3-6/11 	1040 A 	49 	47 	4
Rasmussen 	3/3-5/11 	1500 LV 	47 	52 	-
Gallup 	3/2-4/11 	1500 A 	47 	44 	-
Zogby (Internet) 	3/2-4/11 	2061 LV 	44 	55 	1
Resurgent Republic (R) 	3/1-3/11 	1000 RV 	47 	49 	5
Rasmussen 	2/28-3/2/11 	1500 LV 	45 	54 	-
Gallup 	2/27-3/1/11 	1500 A 	45 	46 	-
YouGov/Polimetrix 	2/26-3/1/11 	1000 A 	44 	48 	8
Pew 	2/22-3/1/11 	1504 A 	51 	39 	10
NBC/WSJ 	2/24-28/11 	1000 A 	48 	46 	6
Quinnipiac 	2/21-28/11 	1887 RV 	46 	46 	8
Rasmussen 	2/25-27/11 	1500 LV 	49 	50 	-
DailyKos/PPP (D) 	2/24-27/11 	1003 RV 	48 	45 	7
Gallup 	2/24-26/11 	1500 A 	49 	44 	-
Rasmussen 	2/22-24/11 	1500 LV 	48 	52 	-
Gallup 	2/21-23/11 	1500 A 	46 	46 	-
YouGov/Polimetrix 	2/19-22/11 	1000 A 	43 	50 	8
Rasmussen 	2/19-21/11 	1500 LV 	44 	55 	-
Zogby (Internet) 	2/18-21/11 	2017 LV 	45 	55 	1
Gallup 	2/18-20/11 	1500 A 	48 	43 	-
ARG 	2/17-20/11 	1100 A 	48 	48 	4
DailyKos/PPP (D) 	2/17-20/11 	1002 RV 	46 	49 	5
Rasmussen 	2/16-18/11 	1500 LV 	45 	53 	-
Gallup 	2/15-17/11 	1500 A 	49 	43 	-
Rasmussen 	2/13-15/11 	1500 LV 	48 	51 	-
YouGov/Polimetrix 	2/12-15/11 	1000 A 	43 	49 	8
Newsweek/Daily Beast 	2/12-15/11 	918 LV 	50 	44 	-
Gallup 	2/12-14/11 	1500 A 	48 	44 	-
CBS 	2/11-14/11 	1031 A 	48 	41 	11
DailyKos/PPP (D) 	2/11-13/11 	1002 LV 	47 	48 	5
PPP (D) 	2/11-13/11 	600 LV 	49 	46 	6
Rasmussen 	2/10-12/11 	1500 LV 	48 	51 	-
Gallup 	2/9-11/11 	1500 A 	48 	44 	-
Rasmussen 	2/7-9/11 	1500 LV 	50 	50 	-
FOX 	2/7-9/11 	900 RV 	51 	43 	6
Democracy Corps (D) 	2/7-9/11 	1001 LV 	51 	44 	5
Gallup 	2/5-8/11 	1500 A 	47 	44 	-
YouGov/Polimetrix 	2/5-8/11 	1000 A 	46 	48 	6
Zogby (Internet) 	2/3-8/11 	10018 LV 	46 	53 	1
Ipsos/Reuters 	2/4-7/11 	1021 A 	51 	46 	3
Pew 	2/2-7/11 	1385 A 	49 	42 	9
Rasmussen 	2/4-6/11 	1500 LV 	49 	50 	-
DailyKos/PPP (D) 	2/3-6/11 	1002 LV 	49 	46 	5
Gallup 	2/2-4/11 	1500 A 	45 	47 	-
Rasmussen 	2/1-3/11 	1500 LV 	46 	53 	-
Gallup 	1/30-2/1/11 	1500 A 	50 	42 	-
YouGov/Polimetrix 	1/29-2/1/11 	1000 A 	44 	49 	7
Rasmussen 	1/29-31/11 	1500 LV 	50 	49 	-
Zogby (Internet) 	1/27-31/11 	2073 LV 	44 	56 	1
DailyKos/PPP (D) 	1/27-30/11 	1002 LV 	50 	45 	5
Gallup 	1/27-29/11 	1500 A 	50 	41 	-
Rasmussen 	1/26-28/11 	1500 LV 	49 	49 	-
Gallup 	1/24-26/11 	1500 A 	49 	42 	-
Rasmussen 	1/23-25/11 	1500 LV 	50 	48 	-
YouGov/Polimetrix 	1/22-25/11 	1000 A 	45 	46 	8
Gallup 	1/21-23/11 	1500 A 	50 	42 	-
CNN 	1/21-23/11 	1012 A 	55 	44 	1
DailyKos/PPP (D) 	1/20-23/11 	1001 RV 	46 	48 	6
Rasmussen 	1/20-22/11 	1500 LV 	50 	49 	-
Gallup 	1/18-20/11 	1500 A 	50 	42 	-
ARG 	1/17-20/11 	1100 A 	50 	46 	4
Rasmussen 	1/17-19/11 	1500 LV 	49 	50 	-
CBS/Times 	1/15-19/11 	1036 A 	49 	39 	12
YouGov/Polimetrix 	1/15-18/11 	1000 A 	45 	48 	7
Gallup 	1/15-17/11 	1500 A 	50 	42 	-
NBC/WSJ 	1/13-17/11 	1000 A 	53 	41 	6
CNN 	1/14-16/11 	1008 A 	53 	45 	2
Rasmussen 	1/14-16/11 	1500 LV 	46 	53 	-
DailyKos/PPP (D) 	1/14-16/11 	1002 LV 	46 	50 	4
ABC/Post 	1/13-16/11 	1053 A 	54 	43 	3
Resurgent Republic (R) 	1/12-16/11 	1000 RV 	53 	44 	4
Gallup 	1/12-14/11 	1500 A 	49 	43 	-
Rasmussen 	1/11-13/11 	1500 LV 	47 	51 	-
Democracy Corps (D)/Campaign for America's Future 	1/9-12/11 	800 LV 	47 	47 	6
Gallup 	1/9-11/11 	1500 A 	48 	44 	-
YouGov/Polimetrix 	1/8-11/11 	1000 A 	46 	48 	6
Quinnipiac 	1/4-11/11 	2424 RV 	48 	44 	8
Rasmussen 	1/8-10/11 	1500 LV 	49 	51 	-
Ipsos/Reuters 	1/7-10/11 	1021 A 	50 	47 	3
Marist/McClatchy 	1/6-10/11 	827 RV 	48 	43 	9
AP-GfK 	1/5-10/11 	1002 A 	53 	46 	2
DailyKos/PPP (D) 	1/6-9/11 	1002 LV 	45 	51 	4
Pew 	1/5-9/11 	1503 A 	46 	44 	10
Gallup 	1/6-8/11 	1500 A 	48 	43 	-
Rasmussen 	1/5-7/11 	1500 LV 	48 	50 	-
Gallup 	1/3-5/11 	1500 A 	48 	46 	-
Rasmussen 	1/2-4/11 	1500 LV 	46 	54 	-
YouGov/Polimetrix 	1/1-4/11 	1000 A 	46 	47 	7
Zogby (Internet) 	12/30/10-1/3/11 	2073 LV 	43 	56 	1
Gallup 	12/28/10-1/2/11 	1500 A 	50 	42 	-
Rasmussen 	12/28-30/10 	1500 LV 	48 	51 	-
YouGov/Polimetrix 	12/25-28/10 	1000 A 	45 	50 	6
Gallup 	12/23-27/10 	1500 A 	45 	48 	-
Rasmussen 	12/23-27/10 	1500 LV 	47 	51 	-
Rasmussen 	12/20-22/10 	1500 LV 	47 	51 	-
Gallup 	12/20-22/10 	1500 A 	49 	45 	-
YouGov/Polimetrix 	12/18-21/10 	1000 A 	42 	50 	7
ARG 	12/17-20/10 	1100 A 	41 	51 	8
Rasmussen 	12/17-19/10 	1500 LV 	49 	50 	-
Gallup 	12/17-19/10 	1500 A 	46 	45 	-
CNN 	12/17-19/10 	1014 A 	48 	48 	4
Rasmussen 	12/14-16/10 	1500 LV 	44 	55 	-
Gallup 	12/14-16/10 	1500 A 	45 	48 	-
FOX 	12/14-15/10 	1200 RV 	40 	51 	9
YouGov/Polimetrix 	12/11-14/10 	1000 A 	39 	53 	9
Rasmussen 	12/11-13/10 	1500 LV 	45 	54 	-
Gallup 	12/11-13/10 	1500 A 	46 	45 	-
NBC/WSJ 	12/9-13/10 	1000 A 	45 	48 	7
ABC/Post 	12/9-12/10 	1001 A 	49 	47 	4
Rasmussen 	12/8-10/10 	1500 LV 	46 	53 	-
Gallup 	12/8-10/10 	1500 A 	43 	49 	-
Zogby (Internet) 	12/8-10/10 	1914 LV 	39 	61 	1
Marist/McClatchy 	12/2-8/10 	873 RV 	42 	50 	8
Rasmussen 	12/5-7/10 	1500 LV 	46 	53 	-
Bloomberg 	12/4-7/10 	1000 A 	47 	48 	5
YouGov/Polimetrix 	12/4-7/10 	1000 A 	40 	54 	7
Ipsos/Reuters 	12/2-5/10 	1028 A 	45 	46 	8
Rasmussen 	12/2-4/10 	1500 LV 	46 	54 	-
Gallup 	12/2-4/10 	1500 A 	48 	43 	-
CBS 	11/29-12/2/10 	1137 A 	48 	42 	10
Zogby (Internet) 	11/29-12/1/10 	2084 LV 	42 	58 	1
Rasmussen 	11/29-12/1/10 	1500 LV 	44 	54 	-
Gallup 	11/28-12/1/10 	1500 A 	45 	47 	-
Rasmussen 	11/22-28/10 	1500 LV 	47 	52 	-
Gallup 	11/24-27/10 	1500 A 	45 	47 	-
Gallup 	11/21-23/10 	1500 A 	44 	47 	-
Zogby (Internet) 	11/19-22/10 	2032 LV 	39 	60 	1
AP-GfK 	11/18-22/10 	1000 A 	48 	48 	4
Rasmussen 	11/19-21/10 	1500 LV 	46 	52 	-
PPP (D) 	11/19-21/10 	707 RV 	47 	50 	3
Gallup 	11/17-20/10 	1500 A 	46 	47 	-
Rasmussen 	11/16-18/10 	1500 LV 	47 	52 	-
Gallup 	11/14-16/10 	1500 A 	48 	45 	-
YouGov/Polimetrix 	11/13-16/10 	1000 A 	40 	55 	5
Rasmussen 	11/13-15/10 	1500 LV 	45 	54 	-
Zogby (Internet) 	11/12-15/10 	2062 LV 	42 	58 	0
NBC/WSJ 	11/11-15/10 	1000 A 	47 	47 	6
Quinnipiac 	11/8-15/10 	2424 RV 	44 	49 	6
CNN 	11/11-14/10 	1014 A 	48 	50 	3
Gallup 	11/11-13/10 	1500 A 	43 	49 	-
Rasmussen 	11/10-12/10 	1500 LV 	46 	53 	-
Gallup 	11/8-10/10 	1500 A 	44 	48 	-
CBS 	11/7-10/10 	1137 A 	45 	45 	10
Rasmussen 	11/7-9/10 	1500 LV 	45 	54 	-
