"FLO8"	"RAS2"	"TEC1"	"PHD1"	"ACE2"	"SWI5"	"SOK2"	"RME1"	"IME1"	"GPA2"	"MEP2"	"IME2"	"CLN2"	"ASH1"	"MUC1"
"X29C.to.33C...15.minutes"	-0.01	0.93	0.5	-0.22	0.01	0.06	-0.24	0.4	-0.64	0.11	0.07	-0.1	-0.36	-0.14	0.65
"X29C.to.33C...30.minutes"	0.26	0	0.14	-0.97	-0.07	-0.18	0.27	-0.45	-0.97	-0.15	0.36	-0.51	0.34	-0.51	-0.175153374233129
"X33C.vs..30C...90.minutes"	-0.15	-0.27	-0.15	-0.04	-0.85	-0.38	0.08	-0.03	0.01	-0.15	-0.04	-0.34	0.3	0.25	-0.94
"X29C..1M.sorbitol.to.33C...1M.sorbitol...5.minutes"	-0.04	0.89	0.61	2.32	-0.11	0.31	1.15	0.45	-0.27	0.89	-0.67	-0.01	-0.84	-0.56	-0.02
"X29C..1M.sorbitol.to.33C...1M.sorbitol...15.minutes"	0.14	0.95	0.88	-0.51	-1.15	0.14	0.08	0.6	-0.62	0.28	-0.36	-0.09	-0.74	-0.18	1.49
"X29C..1M.sorbitol.to.33C...1M.sorbitol...30.minutes"	-0.01	-0.04	0.66	-0.92	0.35	-0.4	0.39	0.08	-0.71	0	-0.69	0.06	0.1	-0.34	0.87
"X29C..1M.sorbitol.to.33C....NO.sorbitol...5.minutes"	0.29	0.37	0.57	2.45	0.39	0.33	1.24	0.39	-0.69	0.33	-0.79	-0.09	-0.86	-0.17	-1.38
"X29C..1M.sorbitol.to.33C....NO.sorbitol...15.minutes"	-0.27	0.54	0.38	1.12	-0.25	-0.51	0.66	0.44	-0.92	-0.06	-0.27	-3.47	-0.49	-0.07	-3.06
"X29C..1M.sorbitol.to.33C....NO.sorbitol...30.minutes"	0.38	-0.12	0.7	0.34	-1.05	-0.42	0.61	-0.47	-0.74	-0.27	-0.2	-0.58	-0.09	-0.47	-1.32
"constant.0.32.mM.H2O2..10.min..redo"	-0.45	0.06	4.25	0.31	0.31	-1.06	0.14	-2.47	0.32	0.69	-1.51	1.53	-1.22	-0.69	0.1
"constant.0.32.mM.H2O2..20.min..redo"	-0.38	-0.17	-0.69	-0.47	0.28	-1.6	0.25	0.305230769230769	-0.49	1.2	0.16	0.85	-2.56	-1.22	-0.59
"constant.0.32.mM.H2O2..30.min..redo"	-0.42	0.33	-0.3	-1.43	-0.36	-1.22	-0.04	-2.56	-0.22	1.25	-1.43	0.45	-1.29	-1.15	-0.31
"constant.0.32.mM.H2O2..40.min..rescan"	-0.89	-0.0572176470588235	-0.49	-2.64	0.03	-0.15	-0.15	0.03	-0.01	0.38	0.20735	0.23	-1.06	-0.58	0.22
"constant.0.32.mM.H2O2..50.min..redo"	-0.47	-0.15	-0.17	-1.51	-0.34	-1.15	-0.12	0.305230769230769	-0.62	0.24	-0.97	0.4	-0.15	-0.86	-0.48
"constant.0.32.mM.H2O2..60.min..redo"	-0.25	-0.49	-0.76	-1	-0.1	-0.94	0.03	0.305230769230769	-0.54	0.07	-0.43	0.49	-0.38	-1.12	-0.11
"constant.0.32.mM.H2O2..80.min..redo"	-0.25	-0.1	0.071045751633987	-0.86	0.31	-0.22	0.36	0.305230769230769	-0.06	-0.04	0.23	-0.04	-0.18	-1.36	-0.23
"constant.0.32.mM.H2O2..100.min..redo"	-0.3	-0.22	0.071045751633987	-0.56	0.36	-0.04	0.56	0.305230769230769	-0.42	-0.29	-0.06	0.07	-0.64	-0.4	-0.02
"constant.0.32.mM.H2O2..120.min..redo"	-0.3	0.01	-0.18	-0.92	-0.34	-0.34	0.09	0.305230769230769	-0.29	-0.14	0.1	0.07	0.24	-0.43	-0.08
"constant.0.32.mM.H2O2..160.min..redo"	-0.29	0.2	0.071045751633987	-0.62	-0.84	-0.01	0.27	0.305230769230769	-0.1	-0.54	-0.1	-0.42	-0.01	-0.62	0.08
"X1.mM.Menadione..10.min.redo"	-0.38	-0.54	0.071045751633987	0.06	-0.12	-0.4	-0.06	0.305230769230769	0	-0.3	-0.92	0.15	-0.49	0.1	0.21
"X1.mM.Menadione..20.min..redo"	-0.76	-0.1	0.28	0.41	-0.36	-0.3	0.03	-0.74	0.08	0.08	-2.4	0.96	-0.89	-0.04	-0.6
"X1.mM.Menadione..30.min..redo"	-0.56	-0.25	0	0.18	0.06	-0.3	-0.01	0.305230769230769	-0.29	-0.29	-0.54	0.61	-1.25	-0.18	-0.33
"X1mM.Menadione..40.min..redo"	-0.54	-0.4	0.03	-0.03	-0.27	-0.47	-0.18	0.305230769230769	-0.42	0.03	-1.12	0.64	-0.89	-0.6	0.16
"X1.mM.Menadione..50.min.redo"	-0.6	-0.43	0.07	0.2	-0.24	-0.45	-0.13	0.305230769230769	-0.27	-0.3	-0.47	0.25	-0.22	-0.34	-0.25
"X1.mM.Menadione..80.min..redo"	-0.67	-0.71	0.1	0.01	-0.22	-0.42	-0.37	0.305230769230769	-0.56	-0.3	-0.58	0.26	-0.47	-0.69	0.33
"X1.mM.Menadione..105.min..redo"	-0.49	-0.4	0.08	-0.58	0.21	0.3	-0.43	0.305230769230769	-0.18	0.11	-0.89	0.78	-0.27	-0.3	0
"X1.mM.Menadione..120.min.redo"	-0.54	-0.51	-0.09	-0.43	-0.45	0.62	-0.44	0.305230769230769	-0.36	-0.62	-1.15	0.64	-0.23	0.18	-0.17
"X1.mM.Menadione..160.min..redo"	-0.45	-0.34	-0.04	-0.47	-0.1	-0.32	-0.94	0.305230769230769	-0.38	-0.34	0.81	0.58	-0.79	-0.71	-0.33
"X2.5mM.DTT.005.min.dtt.1"	-0.110912280701754	-0.84	0.071045751633987	0.37	-0.14	-0.36	0.88	0.305230769230769	-0.58	-0.18	-0.71	-1.29	0.14	-0.49	-1.79
"X2.5mM.DTT.015.min.dtt.1"	0.2	-0.64	-0.27	1.41	0.11	-0.81	0.65	-0.45	-0.25	-0.07	-1.6	-0.04	-0.54	-0.64	-0.57
"X2.5mM.DTT.030.min.dtt.1"	-0.17	-0.51	0.071045751633987	1.4	-0.47	-0.342547058823529	1.05	-0.2	-0.67	0.88	-0.36	-0.03	0.19	-0.47	0.98
"X2.5mM.DTT.045.min.dtt.1"	0.26	-0.2	-0.07	0.7	-0.56	-0.97	0.27	-0.47	-0.62	0.21	-0.3	-0.09	-0.26	-0.97	0.2
"X2.5mM.DTT.060.min.dtt.1"	0.34	0.07	0.06	0.43	-0.17	-0.76	0.45	0	-0.62	0.46	-0.38	-0.17	-0.42	-0.79	-1.32
"X2.5mM.DTT.090.min.dtt.1"	-0.06	-0.09	0.23	-0.01	-0.47	-1.12	0.12	0.19	-0.36	0.75	-0.56	0.14	-0.06	-0.86	-0.49
"X2.5mM.DTT.120.min.dtt.1"	0.2	0.16	-0.15	0.51	-0.62	-0.67	0.16	-0.18	-1.15	0.86	-0.84	-0.3	0.01	-1.51	0.37
"X2.5mM.DTT.180.min.dtt.1"	0.1	0.32	-0.43	0.01	-0.197941176470588	-0.79	0.29	0.11	-0.67	0.19	0.29	-0.1	-0.23	-1	1.04
"dtt.000.min..dtt.2"	-0.62	-0.32	0.071045751633987	-0.34	-0.27	0.45	0.06	-0.04	0.21	-0.12	0.20735	-0.34	0.36	0.5	-1.66
"dtt.015.min.dtt.2"	-0.06	-0.23	0.071045751633987	0.54	-0.32	-0.06	0.43	-0.17	0.19	-0.1	0.20735	-0.79	0.01	0.28	-1.2
"dtt.030.min..dtt.2"	-0.56	-0.36	0.071045751633987	0.42	-0.54	-0.29	0.4	-0.25	-0.15	0.24	0.20735	-0.58	-0.14	0.01	-0.46
"dtt.060.min.dtt.2"	-0.45	0.26	0.071045751633987	-0.29	0.23	-0.67	0.22	0.19	-0.36	-0.23	0.20735	-0.09	0.18	-0.71	0.13
"dtt.120.min.dtt.2"	-0.2	0.65	0.071045751633987	-0.62	-0.26	-0.6	-0.58	0.41	-0.23	0.26	0.20735	0.12	0.14	-1.06	0.14
"dtt.240.min.dtt.2"	-0.38	0.03	0.071045751633987	0.74	-0.24	-0.29	-0.32	0.78	-0.07	0.9	0.20735	0.77	0.64	0.23	-0.05
"dtt.480.min.dtt.2"	-0.23	-0.74	0.071045751633987	0.14	0.4	0.12	0.29	-0.09	-0.38	-0.36	0.20735	0.24	0.58	0.93	-0.17
"X1.5.mM.diamide..5.min."	-0.3	0.33	0.32	1.53	-0.03	-0.32	0.03	0.33	-0.01	0.58	-0.18	0.03	-0.33	-0.38	-0.26
"X1.5.mM.diamide..10.min."	-0.34	0.96	0.58	0.52	-0.1	-0.4	-0.25	1.08	-0.29	0.87	-0.49	0.06	-0.79	-0.17	0.02
"X1.5.mM.diamide..20.min."	-0.32	0.82	1.12	-0.71	0.16	-0.07	-0.59	1.29	-0.42	1.27	-0.49	0.4	-0.93	-0.06	0.12
"X1.5.mM.diamide..30.min."	-0.34	1.08	0.86	-1.12	0.12	-0.2	-0.81	1.48	-0.23	1.06	0.03	0.38	-0.84	0.14	-0.25
"X1.5.mM.diamide..40.min."	-0.18	0.8	1.07	-1.25	0.1	-0.15	-0.4	1.64	-0.58	1.03	0.32	0.33	-0.05	0.32	-0.5
"X1.5.mM.diamide..50.min."	-0.36	0.39	0.72	-1.4	-0.25	-0.62	-0.56	0.85	-0.97	0.7	0.48	-0.18	0.14	0.06	-0.5
"X1.5.mM.diamide..60.min."	-0.32	0.08	-0.42	-1.47	-0.89	-1.43	-0.24	1.34	-0.51	1.25	0.38	0.38	0.12	0.39	-0.68
"X1.5.mM.diamide..90.min."	-0.18	-0.09	0.39	-0.84	-0.73	-0.29	-0.19	0.62	-0.25	0.46	0.53	-0.01	0.46	-0.54	-0.49
"X1M.sorbitol...5.min"	0.19	0.31	-0.24	0	0.09	0.01	-0.37	0.08	0.07	0.58	-0.45	1.08	-0.38	-0.76	-0.06
"X1M.sorbitol...15.min"	0	0.06	-0.8	-0.07	-0.16	-0.42	-0.8	0.53	0.58	1.23	-0.45	1.98	-0.71	-1.22	-0.12
"X1M.sorbitol...30.min"	0	0.28	-0.94	-0.81	-0.34	-0.67	-0.36	0.61	0.16	0.6	-0.14	0.01	0.24	-0.89	-0.18
"X1M.sorbitol...45.min"	-0.09	0.1	-0.77	-1.12	-0.08	-0.06	-0.76	0.21	-0.17	0.18	-0.06	0.4	-0.12	-0.4	-0.08
"X1M.sorbitol...60.min"	0.01	-0.29	-0.56	-0.49	-0.06	0.14	-0.2	-0.4	-0.14	-0.1	0.24	-0.22	0.44	0.01	-0.1
"X1M.sorbitol...90.min"	-0.25	-0.62	-0.04	-0.04	0.09	-0.342547058823529	-0.15	-0.03	-0.04	0.36	0.2	0.32	0.26	0.19	0.19
"X1M.sorbitol...120.min"	-0.18	-0.14	-0.05	-0.29	-0.17	0.38	-0.26	0.18	-0.07	0.16	-0.14	-0.03	0.61	0.38	-0.18
"Hypo.osmotic.shock...5.min"	0.12	0.11	0.63	2.81	0.18	-0.07	1.79	0.15	-0.43	0.03	-0.67	-0.01	-0.34	-0.47	0.43
"Hypo.osmotic.shock...15.min"	0.08	-0.56	-0.3	0.32	-0.07	-0.06	0.62	-0.54	-0.86	-0.74	-0.25	-0.12	-0.23	0.06	0.16
"Hypo.osmotic.shock...30.min"	0.03	-0.84	0.07	-0.4	-0.18	-0.42	0.39	-1	-0.51	-0.76	-0.92	-0.22	0.21	-0.14	-0.36
"Hypo.osmotic.shock...45.min"	0.1	-0.62	0.19	-0.29	0.45	-0.27	0.55	-0.84	-0.71	-1.22	-0.89	-0.64	0.07	-0.25	0.57
"Hypo.osmotic.shock...60.min"	0.18	-0.4	-0.06	0.01	-0.28	0.06	0.5	-0.89	-0.49	-0.29	-0.47	-0.4	-0.1	-0.71	3.67
"steady.state.1M.sorbitol"	0.62	-0.3	-0.09	-0.38	0.54	0.65	0.06	-0.06	-0.34	-0.34	-1.89	-2.25	0.37	-0.47	-0.42
"aa.starv.0.5.h"	0.16	0.26	0.07	0.93	-0.27	0.61	0.31	1.64	-0.32	1.3	0.20735	0.25	-0.76	0.01	-0.23
"aa.starv.1.h"	0.52	0.26	0.58	0.25	-0.45	-0.49	0.56	0.84	-1.12	0.33	0.20735	-0.49	0.57	0.18	0.98
"aa.starv.2.h"	0.32	-0.43	0.54	0.64	-0.18	0.08	-0.01	0.64	-0.62	0.52	0.20735	-0.27	0.25	0.04	-0.54
"aa.starv.4.h"	0.11	0.45	0.16	1.65	-0.48	-0.54	-0.06	1.08	1.28	1.06	0.20735	0.07	0.5	0.66	-0.04
"aa.starv.6.h"	0.33	0.21	-0.86	1.29	-0.24	-0.29	-0.11	0.82	-0.4	0.64	0.20735	0.72	0.67	0.57	-0.42
"Nitrogen.Depletion.30.min."	0.48	-0.09	1.06	1.16	0.25	0.74	0.28	1.12	-0.43	0.69	5.34	-0.23	-0.43	0.1	-0.34
"Nitrogen.Depletion.1.h"	0.21	0.75	1.22	0.56	0.2	0.59	0.06	0.98	-0.58	0.7	5.02	-0.45	0.61	0.03	-0.19
"Nitrogen.Depletion.2.h"	0.16	0.3	0.88	0.1	0.63	0.89	0.12	0.2	-0.54	0.42	5.33	-0.79	0.42	-0.79	-0.42
"Nitrogen.Depletion.4.h"	0.04	-0.14	0.44	0.55	0.49	0.42	0.14	0.16	-0.49	0.29	5.87	-0.23	0.52	-0.22	-0.68
"Nitrogen.Depletion.8.h"	0.24	-0.43	-0.01	2	0.59	0.33	-0.62	1.31	-0.18	1.76	5.86	0.01	-0.15	0.81	-0.14
"Nitrogen.Depletion.12.h"	0.15	-0.67	-0.97	2.18	-0.22	-2	-0.5	1.48	0.23	2.17	5.98	-0.07	-2.03	-0.23	-0.56
"Nitrogen.Depletion.1.d"	0.21	-1.22	-1.56	1.64	-0.74	-1.94	0.01	1.71	1.96	2.32	5.91	-0.18	-2.18	-1.18	-1.37
"Nitrogen.Depletion.2.d"	0.06	-1.29	-1.29	1.61	-0.76	-1.89	-0.03	1.39	3.07	2.3	5.48	0.120327380952381	-2.44	-1.29	-0.25
"Nitrogen.Depletion.3.d"	0.24	-1.32	-1.47	1.61	-0.79	-2.47	-0.38	1.37	3.73	2.6	5.64	0.8	-3.06	-1.25	-0.175153374233129
"Nitrogen.Depletion.5.d"	0.28	-1.18	-1.22	1.27	-0.51	-2.47	-0.28	1.42	3.47	2.28	5.81	0.44	-3.06	-1.6	-0.175153374233129
"Diauxic.Shift.Timecourse...0.h"	-0.29	0.24	-0.17	-0.12	-0.3	-0.25	0.14	0.07	-0.42	-0.67	-0.2	-0.38	-0.01	0.25	-0.36
"diauxic.shift.timecourse.9.5.h"	-0.45	0.16	-0.06	-0.27	-0.04	-0.64	0.19	0.15	-0.56	-0.01	-0.12	-0.18	-0.1	0.06	-0.6
"diauxic.shift.timecourse11.5"	-0.25	0.2	0.36	-0.64	-0.17	0.44	-0.23	0.26	-0.14	0.61	0.07	-0.04	-0.45	-0.38	-0.43
"diauxic.shift.timecourse.13.5.h"	-0.110912280701754	0.07	-0.38	-0.47	-0.38	-0.01	-0.47	0.34	-0.64	0.03	-0.04	-0.34	-0.81	-1.12	-0.4
"diauxic.shift.timecourse.15.5.h"	-0.47	0.42	-0.17	-0.45	-0.43	-0.47	-0.6	0.4	-0.69	-0.38	0.24	-0.29	-1.09	-0.92	-0.47
"diauxic.shift.timecourse.18.5.h"	-0.07	1.16	0.69	0.72	-0.25	0.32	-0.43	1.46	0.36	1.37	0.36	0.56	-0.51	-1.79	-0.18
"diauxic.shift.timecourse.20.5.h"	-0.23	-0.4	0.78	0.74	-0.14	-0.38	-0.64	0.88	-0.38	0.64	0.68	0.26	-2.12	-0.47	-0.58
"YPD.2.h.ypd.2"	0.31	0.23	0.06	0.08	-0.75	-0.01	-0.13	-0.1	-0.12	0.77	0.20735	0.14	0.52	0.73	-0.96
"YPD.4.h.ypd.2"	-0.09	0.32	0.39	0.45	-0.85	-0.45	-0.85	0.51	-0.34	0.93	0.20735	-0.06	0.5	0.48	-0.33
"YPD.6.h.ypd.2"	-0.09	1.21	1.31	1.16	-0.36	-0.2	-1.32	1.94	0.12	3.39	0.20735	1.3	-2.6	0.53	0.24
"YPD.8.h.ypd.2"	0.24	-0.38	0.68	-0.03	-0.5	-0.15	-0.58	1.33	-0.25	2.63	0.20735	0.85	-0.56	1.23	-0.07
"YPD.10.h..ypd.2"	0.15	-0.58	-0.22	0.58	-0.83	0.44	-0.73	0.57	0.06	1.78	0.20735	1.05	-0.51	0.79	-0.15
"YPD.12.h.ypd.2"	-0.09	0	-0.1	0.58	-1	-0.29	-0.51	0.82	0.12	2.97	0.20735	0.66	-0.56	1.08	0.12
"YPD.1.d.ypd.2"	0.06	-0.71	-0.29	0.37	-1.96	-1.94	-0.27	1.04	1.26	2.62	0.20735	1.35	-1.22	1.14	-0.26
"YPD.2.d.ypd.2"	0.42	-2.12	0.58	1.58	-0.48	-0.14	0.1	0.85	1.84	2.42	0.20735	1.35	-0.92	1.15	0.46
"YPD.3.d.ypd.2"	0.76	-0.47	0.99	1.51	-0.17	-1.47	1.86	-0.29	2.72	2.83	0.20735	1	-1.73	-0.49	0.98
"YPD.5.d.ypd.2"	0.03	-0.32	-0.17	0.7	-0.8	-1.29	2.31	-0.64	4.03	2.27	0.20735	0.52	-2.01	-1.84	1.12
"YPD.stationary.phase.2.h.ypd.1"	0.23	-0.79	0.2	0.39	-0.52	-0.09	0.09	0.53	0.14	-0.01	-0.42	0.41	0.31	0.19	-0.19
"YPD.stationary.phase.4.h.ypd.1"	0.04	-1.03	0.21	0.96	-0.45	-0.03	0	0.46	-0.03	-1.6	-0.94	0.3	0.49	0.36	-0.23
"YPD.stationary.phase.8.h.ypd.1"	0.03	-0.92	0.32	0	-0.81	-0.1	-0.67	0.77	-0.4	0.21	0.08	-0.29	0.6	-0.293313953488372	-0.33
"YPD.stationary.phase.12.h.ypd.1"	-0.47	-0.36	1.63	0.76	-0.62	-1	-0.9	1.64	0.37	1.76	0.21	0.63	-1.32	0.18	-0.14
"YPD.stationary.phase.1.d.ypd.1"	-0.36	-0.67	-0.2	0.65	-0.38	-0.4	-0.75	1.46	0.72	1.48	0.29	0.23	-0.81	1.05	0
"YPD.stationary.phase.2.d.ypd.1"	-0.17	-0.54	-0.38	0.79	-0.3	-1.4	-0.63	2.05	0.74	1.7	0.65	0.39	-1.56	0.72	-0.14
"YPD.stationary.phase.3.d.ypd.1"	-0.1	-0.67	0	0.12	-0.3	-1.56	1.15	1.99	2.38	1.05	2.24	1.17	-2.25	-0.38	-0.09
"YPD.stationary.phase.5.d.ypd.1"	-0.32	-0.27	-0.29	0.25	0.1	-1.56	0.59	0.89	1.49	1.31	0.49	0.55	-1.32	-0.62	1.14
"YPD.stationary.phase.7.d.ypd.1"	-0.34	-0.64	-1.09	0.58	0.43	-2.47	1.48	0.42	1.13	2.69	0.64	0.53	-2.06	-1.4	0.79
"YPD.stationary.phase.13.d.ypd.1"	-0.6	-0.0572176470588235	-1.43	-0.92	-0.08	-2.4	1.25	0.305230769230769	1.5	1.46	0.20735	0.120327380952381	-0.482643274853801	-1.43	1.55
"YPD.stationary.phase.22.d.ypd.1"	-0.56	-0.22	-1.04	-0.43	-0.08	-0.86	1.54	-0.07	0.89	2.52	0.20735	0.96	-2.64	-1.94	0.57
"YPD.stationary.phase.28.d.ypd.1"	-0.58	-0.64	-1.05	-0.67	0.21	-1.94	1.46	0.6	1.12	2.8	0.99	1.09	-2.74	-1.94	0.66
"DBY7286.37degree.heat...20.min"	0.41	-0.17	0.28	-0.07	-0.58	-0.84	0.19	1.3	-0.11	0.37	-0.27	0.19	-1.15	-0.17	-0.12
"DBYmsn2.4..37degree.heat...20.min"	0.43	-0.23	0.12	0.99	0.13	-0.47	0.32	1.01	0.33	0.63	-0.6	0.58	-1.15	0.31	-0.38
"DBYmsn2.4..real.strain....37degrees..20.min."	0	-0.23	1	-0.06	0.45	0.5	0.1	0.83	0.25	0.12	-0.71	0.23	-0.29	-0.43	-0.69
"DBYyap1..37degree.heat...20.min..redo."	0.36	0.21	0.15	-0.06	-0.12	-0.86	0.06	0.94	0.08	0.67	0.03	0.25	-1.4	0.01	0.27
"DBYyap1...37degree.heat..repeat."	0.2	-0.01	0.25	-1.09	-0.02	-0.97	0.84	0.14	-0.29	-0.15	-0.29	0.31	-0.92	-1.32	-0.71
"DBY7286...0.3.mM.H2O2..20.min."	-0.12	0.42	-0.17	-0.66	-0.85	-0.89	0.1	0.61	-0.63	0.12	-0.69	0.09	-1.43	-1.25	-0.64
"DBYmsn2msn4..good.strain....0.32.mM.H2O2"	-0.47	-0.25	-0.09	-0.01	-0.43	-1.03	0.58	0.56	-0.15	0.72	-0.43	0.52	-1.09	-0.69	-0.21
"DBYmsn2.4..real.strain....0.32.mM.H2O2..20.min."	-0.76	-0.32	-0.1	-0.2	0.06	-1	0.91	0.34	-0.14	0.28	-0.51	0.37	-0.71	-0.56	-0.58
"DBYyap1....0.3.mM.H2O2..20.min."	0.07	0.15	-0.43	0.51	-1.05	-1.51	-0.09	0.86	-0.41	0.65	-0.81	0.01	-1.89	-1.89	-0.64
"DBYyap1...0.32.mM.H2O2..20.min."	0.03	-0.4	-0.81	-0.3	-0.16	-0.42	-0.01	1.15	0.49	0.43	-0.69	0.43	-2.12	-1.6	0.21
"Msn2.overexpression..repeat."	-0.108	-0.111	-0.32	-0.021	-0.07	-0.182	-0.36	-0.067	-0.31	0.184	0.055	-0.068	-0.443	-0.353	0.29
"Msn4.overexpression"	0.042	-0.096	-0.4	0.388	0.18	-0.091	-0.52	0.453	-0.134	0.514	0.044	0.243	-0.259	0.173	0.85
"YAP1.overexpression"	-0.38	-0.15	-0.25	0.25	-1.12	0.3	0.85	-0.1	-1.06	1.16	-0.89	0.4	0.08	-0.84	-0.22
"ethanol.vs..reference.pool.car.1"	0.53	-0.74	0.071045751633987	1.37	-0.4	0.15	-0.53	0.06	0.3	1.03	0.20735	-0.51	0.26	0.53	-0.18
"galactose.vs..reference.pool.car.1"	-0.51	-0.25	0.19	-0.54	-0.32	0.25	0.03	0.25	-0.62	0.26	0.20735	0.01	0.56	0.29	-0.96
"glucose.vs..reference.pool.car.1"	-0.2	0.08	-0.18	0.08	-0.17	0.42	0.93	-0.17	-0.22	-0.3	0.20735	-0.29	0.77	0.15	-0.62
"mannose.vs..reference.pool..car.1"	-0.23	-0.36	0.071045751633987	-0.58	-0.32	0.08	0.18	0.1	-0.04	0.67	0.20735	0.11	0.56	0.33	-0.58
"raffinose.vs..reference.pool.car.1"	0.03	-0.4	0.071045751633987	-0.23	-0.07	0.23	-0.12	-0.27	-0.12	-0.43	0.4	-0.15	0.32	-0.03	-0.16
"sucrose.vs..reference.pool.car.1"	-0.23	-0.34	0.071045751633987	-0.43	-0.37	0.16	0.57	-0.42	-0.27	-0.43	0.20735	-0.15	0.58	0.1	0.26
